Wm,W0m,dm,tm,cols,La,Wa,vswr,bandwidth,s,pr,p0
4285.7,325.71,162.86,428.57,1.0,0.0,2142.9,9.176492800000002,,-1.9006215,0.012202847,0.17781596
4285.7,162.86,162.86,428.57,1.0,0.0,5000.0,1.2522901000000002,119.69990000000008,-19.014482,0.21289877,0.49621829
4285.7,325.71,162.86,428.57,1.0,0.0,5000.0,1.2427431,119.69999999999992,-19.312653,0.21312866,0.49652533
4285.7,325.71,162.86,428.57,1.0,0.0,5624.2,1.1756966,120.12029999999952,-21.856701,0.21379739,0.49839301
4285.7,325.71,162.86,428.57,1.0,0.0,2142.9,9.176486599999999,,-1.9006227999999998,0.012202846000000002,0.17781606
4285.7,325.71,162.86,428.57,1.0,0.0,5000.0,1.2427431,119.69999999999992,-19.312652,0.21312865,0.49652533
4285.7,325.71,162.86,428.57,1.0,0.0,5624.2,1.1756966,120.12029999999952,-21.8567,0.21379739,0.49839301
4285.7,325.71,162.86,428.57,3.0,-10714.0,2142.9,14.996866,,-1.1600821000000001,0.0019081935,0.11615158
4285.7,325.71,162.86,428.57,3.0,-10714.0,5000.0,1.3556122,122.64010000000081,-16.422543,0.20976588,0.49216409
4285.7,325.71,162.86,428.57,3.0,-10714.0,5624.2,1.2873427,121.59010000000059,-18.018621,0.2112458,0.49506034
4285.7,325.71,162.86,428.57,5.0,-21429.0,2142.9,15.145279,,-1.1486809,0.0020892395000000003,0.11508519
4285.7,325.71,162.86,428.57,5.0,-21429.0,5000.0,1.3553793,122.00990000000056,-16.427373,0.20979592,0.49224937
4285.7,162.86,162.86,428.57,1.0,0.0,5624.2,1.1799327,120.12029999999996,-21.666660999999998,0.21367876,0.49830113
4285.7,325.71,162.86,428.57,5.0,-21429.0,5624.2,1.2865796,121.3801000000001,-18.038821,0.21121816,0.49514825
4285.7,325.71,271.43,428.57,1.0,0.0,2142.9,10.8608,,-1.6040364,0.027657532999999998,0.15108662
4285.7,325.71,271.43,428.57,1.0,0.0,5000.0,1.2394498999999999,119.49000000000032,-19.418534,0.21684531,0.49659986
4285.7,325.71,271.43,428.57,1.0,0.0,5624.2,1.1713761999999999,119.69999999999992,-22.055692999999998,0.21737785,0.49844007
4285.7,325.71,271.43,428.57,1.0,0.0,2142.9,10.86079,,-1.6040383,0.027657532999999998,0.15108674
4285.7,325.71,271.43,428.57,1.0,0.0,5000.0,1.2394498999999999,119.49000000000032,-19.418535000000002,0.21684531,0.49659986
4285.7,325.71,271.43,428.57,1.0,0.0,5624.2,1.1713761999999999,119.69999999999992,-22.055691,0.21737785,0.49844007
4285.7,325.71,271.43,428.57,1.0,0.0,2142.9,10.860795,,-1.6040371,0.027657538,0.15108668
4285.7,325.71,271.43,428.57,1.0,0.0,5000.0,1.2394498999999999,119.49000000000032,-19.418533,0.21684531,0.49659986
4285.7,325.71,271.43,428.57,1.0,0.0,5624.2,1.1713761999999999,119.69999999999992,-22.055691,0.21737785,0.49844006
4285.7,162.86,162.86,428.57,1.0,0.0,2142.9,1.9715965,77.0698000000003,-9.7100778,0.14497829999999998,0.45160292
4285.7,325.71,271.43,428.57,1.0,0.0,2142.9,10.860795,,-1.6040376,0.027657531000000003,0.15108668
4285.7,325.71,271.43,428.57,1.0,0.0,5000.0,1.2394498999999999,119.49000000000032,-19.418534,0.2168453,0.49659986
4285.7,325.71,271.43,428.57,1.0,0.0,5624.2,1.1713761999999999,119.69999999999992,-22.055692999999998,0.21737785,0.49844007
4285.7,325.71,271.43,428.57,1.0,0.0,2142.9,10.860795,,-1.6040376,0.027657532999999998,0.15108669
4285.7,325.71,271.43,428.57,1.0,0.0,5000.0,1.2394498999999999,119.49000000000032,-19.418535000000002,0.21684532,0.49659986
4285.7,325.71,271.43,428.57,1.0,0.0,5624.2,1.1713761999999999,119.69999999999992,-22.055692,0.21737785,0.49844007
4285.7,325.71,271.43,428.57,1.0,0.0,2142.9,10.8608,,-1.6040364,0.027657538,0.15108663
4285.7,325.71,271.43,428.57,1.0,0.0,5000.0,1.2394498,119.49000000000032,-19.418536,0.21684531,0.49659986
