Wm,W0m,dm,tm,rows,Xa,Ya,gain,vswr,bandwidth,s,pr,p0
2142.9,162.86,77.143,214.29,3.0,0.0,2142.9,2.7991745999999997,1.3720397,110.66980000000015,-16.090654,0.20424823,0.48395169
2142.9,162.86,77.143,214.29,3.0,3543.5,6964.3,2.8173046000000004,1.6381033999999999,120.74970000000019,-12.328014999999999,0.19737376,0.46428907
2142.9,162.86,351.43,214.29,5.0,8365.0,6964.3,2.9414135,1.2427138,123.69010000000058,-19.313585999999997,0.21288510000000002,0.49080796
2142.9,162.86,351.43,214.29,3.0,8365.0,2142.9,2.8440777,1.2425867,122.43009999999987,-19.317644,0.21240459,0.4966034000000001
2142.9,162.86,351.43,214.29,3.0,8365.0,6964.3,2.8123150000000003,1.271176,124.31979999999987,-18.459992,0.20799735,0.48924009
2142.9,162.86,351.43,214.29,3.0,8365.0,11786.0,2.9063831,1.4577924,123.47980000000058,-14.597532999999999,0.21062265,0.48708026
2142.9,162.86,351.43,214.29,3.0,8365.0,16607.0,2.9450626,1.7333131000000002,114.8701000000001,-11.427999,0.21443922,0.49207973
2142.9,162.86,351.43,214.29,3.0,10776.0,2142.9,2.8390902999999996,1.2430451,122.43009999999987,-19.303024,0.21193698,0.49659155
2142.9,162.86,351.43,214.29,3.0,10776.0,6964.3,2.8083362999999997,1.2714631,124.10999999999994,-18.451897,0.20763176,0.48922171
2142.9,162.86,351.43,214.29,3.0,10776.0,11786.0,2.9034401,1.458533,123.26980000000054,-14.586108,0.21033682,0.48704365
2142.9,162.86,351.43,214.29,3.0,10776.0,16607.0,2.9773779,1.3717776000000002,122.42989999999976,-16.095814999999998,0.21478295,0.49273326
2142.9,162.86,351.43,214.29,5.0,0.0,2142.9,1.2266593000000001,7.6572815,,-2.2816921000000003,0.05929759,0.20007227
2142.9,162.86,77.143,214.29,3.0,3543.5,11786.0,2.9593142999999995,1.4406098,123.48009999999965,-14.868885,0.21319881,0.48798282
2142.9,162.86,351.43,214.29,5.0,0.0,6964.3,1.5057931,7.278063499999999,,-2.4020611,0.06475890000000001,0.20743589999999998
2142.9,162.86,351.43,214.29,5.0,1132.8,2142.9,2.8172957999999997,1.1893938,121.5900999999997,-21.259162,0.20990783,0.4935795
2142.9,162.86,351.43,214.29,5.0,1132.8,6964.3,2.9364566,1.3272752,123.48000000000026,-17.038693,0.21034375,0.48593032
2142.9,162.86,351.43,214.29,5.0,3543.5,2142.9,2.8312622000000003,1.0685864,122.21999999999954,-29.588708,0.21264383,0.49825454
2142.9,162.86,351.43,214.29,5.0,3543.5,6964.3,2.946069,1.2536767,123.69019999999998,-18.972222,0.21277721,0.490212
